#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
OTU_379	8	52	4	5	10	36	4	13	5	17	4	6	2	2	7	36	4	9
OTU_38	103	48	64	169	112	171	40	30	183	125	86	124	170	470	56	99	118	73
OTU_380	5	12	8	7	22	7	6	21	5	16	32	4	9	4	16	10	15	19
OTU_381	11	11	6	14	4	10	13	16	8	12	14	22	8	12	17	8	9	7
OTU_382	19	20	9	12	2	6	20	12	9	14	12	30	13	8	6	8	5	14
OTU_383	12	10	2	7	2	7	8	14	10	10	15	16	17	14	15	14	15	11
OTU_384	3	9	5	29	7	6	14	4	8	9	10	5	5	7	26	6	17	12
OTU_385	7	11	37	2	2	4	14	11	8	11	13	5	4	5	14	25	2	12
OTU_386	24	21	0	2	8	2	4	17	2	11	19	13	6	1	5	6	29	19
OTU_387	20	12	22	27	3	3	31	11	8	8	22	18	9	6	8	10	1	10
OTU_388	9	15	18	6	6	10	18	23	13	20	10	12	7	20	5	13	7	19
OTU_389	12	6	10	15	8	42	12	9	14	6	10	7	11	3	9	6	3	9
OTU_39	179	115	154	170	275	172	68	71	90	109	81	75	85	132	88	124	98	99
OTU_390	14	12	10	8	8	11	4	3	10	11	4	24	12	4	9	2	19	6
OTU_392	10	5	6	9	17	11	2	3	17	13	6	2	16	12	6	11	15	10
OTU_393	12	6	9	25	22	10	9	4	15	13	17	5	5	14	7	18	11	11
OTU_394	5	13	3	16	5	18	5	11	9	4	14	15	22	2	16	22	11	21
OTU_395	12	18	7	10	4	12	5	15	12	20	13	8	14	11	6	6	4	14
OTU_396	9	16	15	9	5	7	10	20	16	12	15	11	12	10	11	14	6	31
OTU_397	5	8	7	9	4	8	12	12	28	16	12	8	9	3	9	10	9	9
OTU_398	13	8	0	22	8	5	27	10	13	11	10	10	6	3	11	6	3	18
OTU_399	9	1	9	2	15	10	5	5	15	11	8	7	16	13	6	7	15	8
OTU_4	1303	335	413	600	991	412	464	522	375	567	570	386	875	1101	440	462	864	745
OTU_40	3	36	5	54	108	2	38	236	6	111	138	94	715	46	14	36	198	114
OTU_400	4	17	15	13	8	5	10	11	15	7	13	12	15	13	13	10	9	5
OTU_401	10	11	10	12	4	7	15	10	18	11	9	13	7	8	13	17	12	10
OTU_403	13	0	2	1	0	0	0	0	103	0	0	0	54	0	1	0	0	1
OTU_404	5	17	7	7	5	8	16	16	6	18	12	17	9	9	8	11	10	9
OTU_405	20	19	18	21	23	36	13	7	11	11	15	14	8	12	9	10	14	9
OTU_406	15	11	5	3	5	12	15	6	13	8	5	11	10	8	10	10	6	10
OTU_408	0	26	5	0	65	4	3	2	3	1	4	22	8	5	1	3	2	6
OTU_409	12	22	11	9	9	14	13	12	12	7	6	10	7	8	2	4	12	7
OTU_41	212	122	126	259	227	307	49	33	74	55	86	73	88	106	62	100	111	87
OTU_410	11	13	13	17	28	15	8	8	2	9	6	38	7	9	8	10	11	8
OTU_411	15	16	14	21	39	16	11	12	13	20	41	22	14	11	36	21	37	31
OTU_412	11	8	9	17	13	11	16	6	7	5	13	6	8	14	9	9	16	9
OTU_413	5	9	12	13	8	6	11	8	9	4	17	8	5	17	13	19	12	11
OTU_414	13	16	1	11	0	6	13	24	21	36	2	3	9	2	6	12	0	23
OTU_415	0	124	0	0	1	0	0	1	20	2	0	2	0	0	1	0	0	18
